id_venda,data_venda,cliente,email_cliente,produto,categoria,quantidade,preco_unitario,valor_total,regiao
1046,2023-04-21,Dr. Pedro Henrique da Luz,hs****s@example.com,Mesa,MOVEIS,5.0,4570.35,22851.75,Oeste
1181,2023-11-20,Anthony Gabriel Correia,al****s@example.org,Máquina de Lavar,ELETRODOMESTICOS,9.0,1811.27,16301.43,Norte
248,2024-01-01,Alícia Gomes,oa****a@example.com,Mouse,ACESSORIOS,7.0,72.32,506.24,Leste
651,2023-07-12,Dra. Maya Ramos,,Geladeira,ELETRODOMESTICOS,1.0,4070.17,4070.17,Oeste
791,2023-08-03,Guilherme Caldeira,gc****a@example.org,Monitor,ACESSORIOS,7.0,4630.76,32415.32,Leste
968,2023-10-31,Lucca Viana,gu****c@example.org,Mouse,ACESSORIOS,1.0,2556.81,2556.81,Sul
699,2023-10-03,Ísis Jesus,ma****0@example.net,Notebook,ELETRONICOS,5.0,3660.37,18301.85,Leste
650,2023-06-12,Hadassa Rodrigues,nc****a@example.net,Smartphone,ELETRONICOS,3.0,4555.34,13666.02,Norte
523,2023-02-12,Heloisa Castro,zb****a@example.org,Cadeira,MOVEIS,6.0,3694.38,22166.28,Leste
1146,2023-05-20,Maitê Martins,fe****s@example.net,Fogão,ELETRODOMESTICOS,4.0,492.91,1971.64,Centro-Oeste
505,2023-11-19,Isabella da Mata,te****s@example.net,Monitor,ACESSORIOS,10.0,915.25,9152.5,Sul
760,2023-12-19,Pedro da Rocha,an****s@example.com,Webcam,ACESSORIOS,8.0,1900.73,15205.84,Norte
902,2023-12-31,Dr. Rafael Mendonça,,Geladeira,ELETRODOMESTICOS,2.0,2699.98,5399.96,Centro-Oeste
682,2023-07-06,Dr. Ryan Vieira,ap****a@example.net,Micro-ondas,ELETRODOMESTICOS,6.0,4535.86,27215.16,Sul
788,2023-12-02,Maria Julia Correia,jv****s@example.org,Micro-ondas,ELETRODOMESTICOS,2.0,1357.47,2714.94,Norte
780,2023-06-16,Bento Fogaça,st****a@example.org,Cadeira,MOVEIS,3.0,4617.36,13852.08,Centro-Oeste
860,2023-10-09,Sr. Enrico Casa Grande,ca****o@example.com,Webcam,ACESSORIOS,3.0,4248.77,12746.31,Norte
1195,2023-10-24,Samuel Brito,tm****o@example.org,Webcam,ACESSORIOS,2.0,1456.92,2913.84,Norte
135,2023-11-24,Yan Cardoso,lu****1@example.org,Monitor,ACESSORIOS,,1720.71,5162.13,Leste
1155,2023-03-19,Dra. Júlia Nunes,an****a@example.net,Smartphone,ELETRONICOS,5.0,4912.79,24563.95,Oeste
895,2023-10-29,Dr. Diego Santos,sa****1@example.com,Micro-ondas,ELETRODOMESTICOS,6.0,2024.75,12148.5,Oeste
1005,2023-08-28,Ester Vieira,ma****1@example.com,Notebook,ELETRONICOS,9.0,1062.99,9566.91,Leste
914,2023-12-20,Liz Lopes,fe****0@example.net,Webcam,ACESSORIOS,9.0,1454.71,13092.39,Leste
547,2023-05-30,Renan da Mata,as****4@example.com,Smartphone,ELETRONICOS,5.0,3021.58,15107.9,Sul
283,2023-12-22,Letícia Marques,sa****e@example.org,Mesa,MOVEIS,9.0,2649.33,23843.97,Centro-Oeste
603,2023-04-01,Davi Lucca Sampaio,ca****e@example.com,Tablet,ELETRONICOS,1.0,2289.0,2289.0,Sul
872,2023-05-04,Luiza da Luz,jo****9@example.com,Teclado,ACESSORIOS,8.0,1449.62,11596.96,Leste
56,2023-03-03,Enrico Cavalcanti,la****s@example.net,Mesa,MOVEIS,3.0,3352.45,10057.35,Sul
297,2023-06-13,Sarah Aparecida,an****e@example.net,Micro-ondas,ELETRODOMESTICOS,6.0,3707.94,22247.64,Oeste
1047,2023-05-31,Allana da Luz,da****e@example.com,Fogão,ELETRODOMESTICOS,2.0,1007.65,2015.3,Centro-Oeste
692,2023-03-28,Ana Lívia da Conceição,ig****s@example.org,Mouse,ACESSORIOS,3.0,462.33,1386.99,Centro-Oeste
171,2023-07-05,Ágatha Leão,ka****e@example.org,Armário,MOVEIS,8.0,4641.22,37129.76,Centro-Oeste
576,2023-01-16,Bruno Mendonça,lu****0@example.org,Cadeira,MOVEIS,9.0,1799.4,16194.6,Oeste
1142,2023-05-21,Jade Barbosa,no****e@example.org,Webcam,ACESSORIOS,7.0,1205.73,8440.11,Sul
177,2023-07-16,Alexandre da Mota,jo****a@example.com,Máquina de Lavar,ELETRODOMESTICOS,,243.9,731.7,Centro-Oeste
606,2023-04-23,Benício da Luz,ap****9@example.net,Teclado,ACESSORIOS,7.0,2029.27,14204.89,Oeste
83,2023-06-08,Maria Vitória Araújo,la****s@example.net,Sofá,MOVEIS,5.0,609.36,3046.8,Leste
1199,2023-12-13,Dom Sales,sa****o@example.com,Geladeira,ELETRODOMESTICOS,1.0,1609.58,1609.58,Centro-Oeste
528,2023-04-02,Ágatha da Luz,an****1@example.org,Teclado,ACESSORIOS,6.0,1859.7,11158.2,Centro-Oeste
1138,2023-04-19,João Miguel Siqueira,la****o@example.com,Tablet,ELETRONICOS,4.0,431.54,1726.16,Centro-Oeste
653,2023-06-23,Brayan Oliveira,va****s@example.com,Notebook,ELETRONICOS,2.0,540.19,1080.38,Oeste
180,2023-12-13,Sra. Valentina Camargo,me****a@example.com,Notebook,ELETRONICOS,1.0,3431.09,3431.09,Centro-Oeste
808,2023-04-16,Sr. Davi Miguel da Luz,th****4@example.com,Smartphone,ELETRONICOS,3.0,1465.15,4395.45,Leste
830,2023-02-11,Isabel Garcia,di****a@example.net,Cadeira,MOVEIS,4.0,1031.12,4124.48,Sul
436,2023-10-02,João Guilherme Rezende,jo****z@example.org,Armário,MOVEIS,4.0,618.68,2474.72,Oeste
18,2023-08-15,Maria Helena Peixoto,qm****a@example.net,Cadeira,MOVEIS,6.0,780.65,4683.9,Leste
403,2023-06-14,Pietra Pacheco,gn****o@example.net,Monitor,ACESSORIOS,10.0,1040.14,10401.4,Centro-Oeste
488,2023-11-03,Eduardo Caldeira,ma****s@example.com,Mouse,ACESSORIOS,6.0,429.66,2577.96,Centro-Oeste
938,2023-02-06,Maysa Silveira,ot****a@example.net,Cadeira,MOVEIS,10.0,2526.81,25268.1,Centro-Oeste
1060,2023-02-07,Cauê Andrade,me****c@example.com,Teclado,ACESSORIOS,10.0,1112.83,11128.3,Oeste
496,2023-10-23,Carolina Borges,,Cadeira,MOVEIS,7.0,3869.02,27083.14,Sul
324,2023-12-31,Gael Cavalcanti,gl****a@example.com,Teclado,ACESSORIOS,5.0,4572.83,22864.15,Oeste
852,2023-02-06,Stella Teixeira,co****a@example.com,Sofá,MOVEIS,7.0,4362.38,30536.66,Norte
795,2023-11-18,Maria Vitória Freitas,pi****r@example.net,Micro-ondas,ELETRODOMESTICOS,4.0,4259.47,17037.88,Sul
148,2023-11-07,Ágatha Andrade,da****a@example.org,Monitor,ACESSORIOS,8.0,4199.51,33596.08,Leste
45,2023-08-23,Beatriz Barbosa,na****z@example.org,Mouse,ACESSORIOS,2.0,484.68,969.36,Norte
723,2023-08-05,Emanuelly Melo,da****9@example.com,Teclado,ACESSORIOS,6.0,2764.52,16587.12,Oeste
757,2023-11-08,Lorena Fonseca,jd****z@example.com,Sofá,MOVEIS,9.0,1839.84,16558.56,Centro-Oeste
112,2023-12-22,Lavínia Sampaio,ma****a@example.org,Tablet,ELETRONICOS,2.0,2682.4,5364.8,Oeste
848,2023-05-26,Rebeca Sales,ma****6@example.com,Notebook,ELETRONICOS,5.0,73.72,368.6,Sul
481,2023-02-13,Igor Nogueira,an****0@example.net,Tablet,ELETRONICOS,9.0,3255.12,29296.08,Sul
712,2023-05-17,Thomas Moreira,lu****a@example.org,Micro-ondas,ELETRODOMESTICOS,3.0,1558.19,4674.57,Oeste
500,2023-08-13,Pietra Araújo,da****a@example.org,Sofá,MOVEIS,2.0,2540.24,5080.48,Norte
211,2023-04-04,Vinícius Moraes,ce****a@example.net,Mouse,ACESSORIOS,3.0,3669.87,11009.61,Oeste
691,2023-10-07,Thomas da Luz,ca****s@example.net,Fogão,ELETRODOMESTICOS,9.0,1737.91,15641.19,Sul
1049,2023-08-07,Maria Alice Aragão,an****1@example.net,Micro-ondas,ELETRODOMESTICOS,9.0,867.77,7809.93,Centro-Oeste
1097,2023-11-20,Maitê Cavalcante,em****3@example.com,Smartphone,ELETRONICOS,,396.0,1980.0,Oeste
440,2023-06-16,Agatha Vasconcelos,si****a@example.net,Webcam,ACESSORIOS,10.0,2241.41,22414.1,Sul
1003,2023-02-06,Ayla Almeida,tr****s@example.org,Monitor,ACESSORIOS,1.0,2821.62,2821.62,Sul
486,2023-12-10,José Pedro Dias,vs****o@example.com,Armário,MOVEIS,1.0,2562.68,2562.68,Sul
1189,2023-04-18,Luara Novaes,da****a@example.com,Fone de Ouvido,ELETRONICOS,6.0,319.01,1914.06,Centro-Oeste
315,2023-12-12,Heloisa Porto,ca****o@example.com,Tablet,ELETRONICOS,6.0,3525.81,21154.86,Sul
899,2023-10-09,Sr. Vitor Barros,in****s@example.org,Fone de Ouvido,ELETRONICOS,10.0,834.53,8345.3,Leste
139,2023-08-10,Isabelly Marques,ha****a@example.net,Micro-ondas,ELETRODOMESTICOS,2.0,4730.12,9460.24,Centro-Oeste
475,2023-07-07,Sr. Oliver Silveira,vi****9@example.com,Micro-ondas,ELETRODOMESTICOS,10.0,3312.28,33122.8,Centro-Oeste
174,2023-04-19,Sr. Miguel da Mota,jo****s@example.org,Geladeira,ELETRODOMESTICOS,6.0,182.95,1097.7,Leste
1059,2023-02-21,Antony Vasconcelos,****@example.org,Armário,MOVEIS,10.0,1956.04,19560.4,Sul
95,2023-06-07,Leonardo Oliveira,tg****s@example.org,Notebook,ELETRONICOS,6.0,4681.92,28091.52,Norte
545,2023-11-01,Erick da Mota,nc****e@example.net,Monitor,ACESSORIOS,4.0,3619.15,14476.6,Oeste
1024,2023-09-23,Carolina Macedo,es****3@example.net,Webcam,ACESSORIOS,5.0,101.93,509.65,Centro-Oeste
929,2023-08-25,Mirella Moraes,uo****a@example.com,Mesa,MOVEIS,10.0,2734.0,27340.0,Centro-Oeste
798,2023-06-28,Isadora Nunes,ka****a@example.org,Geladeira,ELETRODOMESTICOS,2.0,2360.47,4720.94,Centro-Oeste
574,2023-03-19,Vitória da Rosa,ja****o@example.org,Mouse,ACESSORIOS,10.0,1013.53,10135.3,Leste
1092,2023-03-21,Josué da Costa,en****4@example.org,Monitor,ACESSORIOS,7.0,2733.15,19132.05,Leste
622,2023-04-10,Davi Vargas,qm****s@example.net,Sofá,MOVEIS,2.0,1896.15,3792.3,Leste
1184,2023-02-28,Danilo Cavalcante,li****a@example.com,Teclado,ACESSORIOS,10.0,3695.05,36950.5,Centro-Oeste
1156,2023-09-02,Oliver Barbosa,me****a@example.org,Monitor,ACESSORIOS,5.0,505.38,2526.9,Sul
91,2023-01-20,Vitor Hugo Aragão,pi****0@example.org,Smartphone,ELETRONICOS,9.0,837.04,7533.36,Oeste
519,2023-04-28,Lívia Machado,da****o@example.org,Smartphone,ELETRONICOS,2.0,405.12,810.24,Centro-Oeste
244,2023-03-26,Ana Luiza Camargo,ip****o@example.org,Máquina de Lavar,ELETRODOMESTICOS,9.0,2432.41,21891.69,Norte
831,2023-08-26,Aurora Cirino,me****s@example.net,Tablet,ELETRONICOS,6.0,4549.79,27298.74,Sul
626,2023-06-20,Srta. Kamilly Gonçalves,an****2@example.org,Fone de Ouvido,ELETRONICOS,5.0,1693.3,8466.5,Norte
80,2023-02-25,Ana Vitória Silva,ra****5@example.com,Micro-ondas,ELETRODOMESTICOS,9.0,1856.95,16712.55,Oeste
155,2023-03-07,Dr. Otávio Sales,ma****3@example.com,Webcam,ACESSORIOS,8.0,1674.25,13394.0,Centro-Oeste
134,2023-08-01,Sara Pires,dt****a@example.org,Monitor,ACESSORIOS,,2037.45,4074.9,Centro-Oeste
930,2023-05-04,Maria da Rocha,lu****9@example.net,Tablet,ELETRONICOS,7.0,534.9,3744.3,Centro-Oeste
408,2023-01-05,Clarice Ferreira,me****e@example.com,Cadeira,MOVEIS,7.0,2613.63,18295.41,Oeste
255,2023-03-08,Léo Lopes,cs****a@example.com,Máquina de Lavar,ELETRODOMESTICOS,4.0,2138.85,8555.4,Norte
235,2024-01-01,Dra. Camila da Paz,te****o@example.com,Smartphone,ELETRONICOS,,2526.96,17688.72,Oeste
1030,2023-10-07,Yuri Camargo,be****9@example.org,Mesa,MOVEIS,5.0,4365.27,21826.35,Leste
101,2023-11-19,Ravi Nunes,bf****s@example.com,Notebook,ELETRONICOS,9.0,4725.41,42528.69,Norte
1198,2023-11-12,Henry Gabriel Mendonça,ca****0@example.net,Mouse,ACESSORIOS,8.0,1794.6,14356.8,Norte
977,2023-06-02,Eloah Macedo,br****o@example.org,Mouse,ACESSORIOS,,107.76,862.08,Sul
347,2023-09-11,Helena Sá,ca****a@example.com,Armário,MOVEIS,8.0,2326.34,18610.72,Leste
465,2023-12-14,Ana Luiza das Neves,ps****a@example.org,Máquina de Lavar,ELETRODOMESTICOS,5.0,2153.69,10768.45,Leste
6,2023-12-09,Lucca Caldeira,ga****l@example.com,Tablet,ELETRONICOS,5.0,3561.18,17805.9,Leste
451,2023-01-19,Aurora Siqueira,ca****a@example.com,Sofá,MOVEIS,5.0,3195.61,15978.05,Sul
1162,2023-06-21,Jade Cavalcanti,is****s@example.org,Monitor,ACESSORIOS,5.0,4049.97,20249.85,Oeste
785,2023-10-16,Bernardo Moura,ma****a@example.com,Geladeira,ELETRODOMESTICOS,9.0,859.62,7736.58,Oeste
742,2023-03-18,Fernanda Oliveira,al****a@example.com,Tablet,ELETRONICOS,8.0,4330.33,34642.64,Norte
398,2023-12-30,Dra. Rebeca Oliveira,ay****a@example.com,Geladeira,ELETRODOMESTICOS,2.0,4442.82,8885.64,Sul
1000,2023-02-10,Ana Beatriz Lima,zm****s@example.net,Monitor,ACESSORIOS,7.0,3130.2,21911.4,Sul
105,2023-01-02,Melissa Vieira,bo****z@example.org,Mesa,MOVEIS,1.0,3682.26,3682.26,Leste
1027,2023-04-22,Raul Dias,an****a@example.net,Notebook,ELETRONICOS,9.0,1027.78,9250.02,Leste
542,2023-04-27,Natália Albuquerque,ac****o@example.org,Mesa,MOVEIS,4.0,4201.07,16804.28,Oeste
476,2023-12-10,Theodoro Rocha,ca****o@example.net,Notebook,ELETRONICOS,10.0,3758.36,37583.6,Centro-Oeste
732,2023-02-05,Beatriz Duarte,va****8@example.com,Cadeira,MOVEIS,9.0,547.83,4930.47,Oeste
470,2023-06-13,Júlia Moura,da****o@example.com,Smartphone,ELETRONICOS,4.0,3048.1,12192.4,Oeste
882,2023-08-04,Luísa Vieira,da****4@example.org,Smartphone,ELETRONICOS,6.0,4285.77,25714.62,Oeste
766,2023-03-26,Benicio Nascimento,ci****o@example.com,Sofá,MOVEIS,8.0,2529.8,20238.4,Norte
1107,2023-08-13,Noah da Mata,lo****9@example.org,Fone de Ouvido,ELETRONICOS,10.0,2546.86,25468.6,Centro-Oeste
582,2023-09-18,Enzo Azevedo,da****a@example.com,Monitor,ACESSORIOS,2.0,1126.63,2253.26,Oeste
205,2023-10-15,Heloísa Montenegro,di****0@example.com,Webcam,ACESSORIOS,9.0,1262.14,11359.26,Leste
962,2023-10-29,Ayla Fonseca,en****4@example.net,Fone de Ouvido,ELETRONICOS,2.0,776.65,1553.3,Norte
764,2023-11-27,Bernardo Cirino,am****o@example.net,Smartphone,ELETRONICOS,1.0,169.18,169.18,Oeste
1067,2023-04-12,Pedro Lucas Rocha,ci****a@example.com,Fogão,ELETRODOMESTICOS,9.0,280.77,2526.93,Oeste
803,2023-05-12,Yago Cunha,jv****s@example.net,Smartphone,ELETRONICOS,3.0,2481.84,7445.52,Centro-Oeste
1176,2023-03-14,Mirella Sá,zp****o@example.com,Notebook,ELETRONICOS,5.0,2459.72,12298.6,Centro-Oeste
385,2023-06-24,Josué Silva,ba****l@example.org,Sofá,MOVEIS,2.0,2188.52,4377.04,Centro-Oeste
874,2023-03-06,Alexandre Campos,ma****c@example.net,Micro-ondas,ELETRODOMESTICOS,1.0,4381.95,4381.95,Sul
943,2023-12-07,Ana Cecília Brito,lu****4@example.com,Sofá,MOVEIS,4.0,3392.12,13568.48,Oeste
863,2023-08-26,Thales da Costa,ma****s@example.com,Smartphone,ELETRONICOS,7.0,4716.29,33014.03,Centro-Oeste
104,2023-07-28,Rebeca Novais,ma****s@example.net,Fone de Ouvido,ELETRONICOS,5.0,3408.78,17043.9,Sul
865,2023-08-01,Giovanna Aragão,ju****o@example.net,Webcam,ACESSORIOS,4.0,3643.97,14575.88,Leste
954,2023-10-04,Ana Lívia Mendonça,is****i@example.net,Mesa,MOVEIS,8.0,3924.06,31392.48,Leste
23,2023-04-02,Isaque Araújo,em****s@example.net,Geladeira,ELETRODOMESTICOS,3.0,246.16,738.48,Norte
717,2023-09-09,Nicolas Montenegro,no****o@example.net,Sofá,MOVEIS,5.0,4653.38,23266.9,Leste
249,2023-09-05,Dr. Antony Fogaça,fe****o@example.net,Mesa,MOVEIS,1.0,1729.43,1729.43,Norte
219,2023-03-31,Clarice Araújo,,Tablet,ELETRONICOS,7.0,2061.05,14427.35,Norte
901,2023-09-04,José Pedro Fonseca,sc****o@example.net,Smartphone,ELETRONICOS,2.0,3721.8,7443.6,Centro-Oeste
971,2023-06-16,Dra. Caroline Albuquerque,ca****s@example.org,Teclado,ACESSORIOS,5.0,1934.5,9672.5,Sul
1147,2023-09-05,Marina Casa Grande,ig****0@example.org,Micro-ondas,ELETRODOMESTICOS,5.0,685.64,3428.2,Sul
802,2023-10-18,Dr. Noah Teixeira,us****a@example.net,Tablet,ELETRONICOS,2.0,4479.46,8958.92,Norte
1052,2023-10-17,Anthony Gabriel Carvalho,es****6@example.com,Sofá,MOVEIS,2.0,1175.03,2350.06,Centro-Oeste
337,2023-02-03,Srta. Ana Sophia Aparecida,sf****a@example.org,Cadeira,MOVEIS,5.0,2419.87,12099.35,Sul
1101,2023-07-21,Kevin Montenegro,lu****5@example.org,Notebook,ELETRONICOS,3.0,1653.2,4959.6,Leste
1125,2023-01-13,Enrico Sampaio,na****5@example.com,Monitor,ACESSORIOS,6.0,3538.73,21232.38,Centro-Oeste
994,2023-11-19,Dra. Ana Liz da Mota,he****s@example.com,Teclado,ACESSORIOS,5.0,2288.86,11444.3,Norte
190,2023-08-27,Sr. Bento Pastor,jo****5@example.net,Notebook,ELETRONICOS,5.0,1800.37,9001.85,Leste
638,2023-02-28,Breno Cirino,ol****s@example.com,Tablet,ELETRONICOS,8.0,4438.18,35505.44,Centro-Oeste
1111,2023-01-20,Emanuelly Ramos,si****a@example.org,Fone de Ouvido,ELETRONICOS,7.0,2275.46,15928.22,Sul
621,2023-04-17,Raul Viana,ca****a@example.com,Monitor,ACESSORIOS,5.0,3732.51,18662.55,Oeste
828,2023-07-01,Guilherme Vieira,ca****0@example.org,Sofá,MOVEIS,6.0,929.33,5575.98,Centro-Oeste
534,2023-09-07,Julia Câmara,da****1@example.org,Geladeira,ELETRODOMESTICOS,2.0,1690.69,3381.38,Centro-Oeste
197,2023-04-09,Helena Garcia,vm****s@example.org,Fogão,ELETRODOMESTICOS,10.0,4719.48,47194.8,Leste
581,2023-02-18,Sra. Luana Cardoso,go****a@example.net,Webcam,ACESSORIOS,5.0,4321.41,21607.05,Oeste
920,2023-11-16,Davi Luiz Albuquerque,ra****l@example.org,Fone de Ouvido,ELETRONICOS,6.0,4854.56,29127.36,Oeste
789,2023-05-13,Larissa Duarte,ur****s@example.org,Fogão,ELETRODOMESTICOS,3.0,4408.22,13224.66,Norte
555,2023-10-02,Arthur da Costa,ma****7@example.org,Mouse,ACESSORIOS,5.0,4133.26,20666.3,Oeste
280,2023-07-10,Maitê Nunes,al****o@example.org,Smartphone,ELETRONICOS,6.0,584.53,3507.18,Leste
652,2023-05-30,Luísa Andrade,ba****e@example.org,Webcam,ACESSORIOS,2.0,3534.48,7068.96,Leste
30,2023-09-10,Raquel Cunha,ma****z@example.com,Fogão,ELETRODOMESTICOS,9.0,2654.34,23889.06,Oeste
450,2023-01-28,Sr. Otávio Sales,ma****a@example.org,Notebook,ELETRONICOS,9.0,1706.62,15359.58,Centro-Oeste
509,2023-07-30,Samuel Andrade,ar****a@example.net,Mesa,MOVEIS,2.0,782.5,1565.0,Sul
209,2023-07-21,Maria Liz Moura,go****a@example.net,Geladeira,ELETRODOMESTICOS,6.0,3362.18,20173.08,Sul
256,2023-12-18,Sr. Theo Sales,zf****s@example.net,Webcam,ACESSORIOS,7.0,1990.92,13936.44,Centro-Oeste
333,2023-01-09,Vitor Gabriel Cassiano,be****a@example.com,Fogão,ELETRODOMESTICOS,10.0,73.52,735.2,Sul
230,2023-04-07,Fernando Sales,lu****a@example.com,Cadeira,MOVEIS,4.0,4009.92,16039.68,Norte
215,2023-04-02,Melina Pires,ya****0@example.com,Webcam,ACESSORIOS,5.0,4724.56,23622.8,Sul
1120,2023-10-23,Arthur Gabriel Sousa,sa****i@example.com,Notebook,ELETRONICOS,1.0,1660.36,1660.36,Sul
240,2023-01-09,Cecilia Teixeira,nm****o@example.org,Fone de Ouvido,ELETRONICOS,4.0,2549.37,10197.48,Centro-Oeste
458,2023-07-08,Isaque Monteiro,pc****o@example.com,Mesa,MOVEIS,9.0,1094.52,9850.68,Oeste
413,2023-02-02,Valentim Cavalcanti,bi****s@example.com,Armário,MOVEIS,4.0,2977.12,11908.48,Centro-Oeste
58,2023-11-04,Hellena Costa,tf****a@example.org,Monitor,ACESSORIOS,3.0,3848.37,11545.11,Sul
777,2023-01-11,João Guilherme Pacheco,go****n@example.org,Smartphone,ELETRONICOS,4.0,4942.25,19769.0,Oeste
44,2023-04-27,Caroline Rios,ma****1@example.org,Mouse,ACESSORIOS,10.0,4913.57,49135.7,Sul
67,2023-10-13,Gael Leão,vr****a@example.org,Mesa,MOVEIS,3.0,4540.64,13621.92,Oeste
